#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTDESC_ancrel_4000;Much time has passed since Luxor Temple’s last official use and the peasantry has moved into its location since then. A sad sight it is indeed to see it in its current status. You decide that it is in the best interest of everyone to restore this temple to its former glory and make it a beacon of a revitalized Kemetic religion.;Bien du temps a passé depuis le dernier usage officiel du Temple de Luxor et la paysannerie s'est installée dans ses lieulx depuis. C'est en effet une bien triste vision que le temple dans son état actuel. Vous décidez que c'est dans l'intérest général de restaurer ce temple dans sa gloire d'antan et d'en faire le symbole d'une religion kémite revigorée.;Viel Zeit ist seit der letzten offiziellen Nutzung des Luxor-Tempels vergangen und den Landleuten die seit dem in seine Lage gezogen sind. Es ist in der Tat ein trauriger Anblick es in seinem aktuellen Zustand zu sehen. Du entscheidest, dass es im besten Interesse von jederman ist, den Tempel zu seiner alten Pracht zu restaurieren und es zu einem Zentrum des wiederbelebten Kemetischen Glaubens zu machen.;;Much time has passed since Luxor Temple’s last official use and the peasantry has moved into its location since then. A sad sight it is indeed to see it in its current status. You decide that it is in the best interest of everyone to restore this temple to its former glory and make it a beacon of a revitalized Kemetic religion.;;;;;;;;;;x
EVTDESC_ancrel_4001;The restoration of Luxor Temple is nearly complete and your chief architect inquires if you’d like to add a new wing to the temple.;La restauration du Temple de Luxor est pesque achevée et votre architecte en chef vous demande si vous aimeriez ajouter une nouvelle aile au temple.;Die Restaurierung des Luxot-Tempels ist fast vollendet und dein Chefarchitekt erkundigt sich ob du gerne einen neuen Seitenflügel zum Tempel ergänzen möchtest.;;The restoration of Luxor Temple is nearly complete and your chief architect inquires if you’d like to add a new wing to the temple.;;;;;;;;;;x
EVTDESC_ancrel_4002;The temple has finally been restored to its former glory.;Le temple a enfin été restauré à la hauteur de sa splendeur d'antan.;Der Temple wurde endlich zu seiner alten Pracht wiederhergestellt.;;The temple has finally been restored to its former glory.;;;;;;;;;;x
EVTDESC_ancrel_4003;It would seem that the Egyptians have been very busy recently. A recent resurgence of Kemetic fanaticism has swept Egypt and the pinnacle of their fanaticism has been reached with the restoration of Luxor Temple. Located on the east bank of the Nile, this temple is both splendid to withhold and enormous in size. It even holds an entirely new wing, attached to the groundwork of the original temple.;Il sembleroit que les Egyptiens aient été actifs ces derniers temps. L'Egypte a été prise récemment par une recrudescence du fanatisme kémite et le summum de leur fanatisme a été atteint avec la restauration du Temple de Luxor. Situé sur la rive est du Nil, ce temple est à la fois d'une beauté à couper le souffle et d'une taille gigantesque. Il abrite mesme une nouvelle aile, attenante aulx fondations du temple d'origine.;It would seem that the Egyptians have been very busy recently. A recent resurgence of Kemetic fanaticism has swept Egypt and the pinnacle of their fanaticism has been reached with the restoration of Luxor Temple. Located on the east bank of the Nile, this temple is both splendid to withhold and enormous in size. It even holds an entirely new wing, attached to the groundwork of the original temple.;;It would seem that the Egyptians have been very busy recently. A recent resurgence of Kemetic fanaticism has swept Egypt and the pinnacle of their fanaticism has been reached with the restoration of Luxor Temple. Located on the east bank of the Nile, this temple is both splendid to withhold and enormous in size. It even holds an entirely new wing, attached to the groundwork of the original temple.;;;;;;;;;;x
EVTDESC_ancrel_4004;The pharaohs of ancient times would often have massive tombs erected in their honour during their reign. Such effort was put into the construction of these pyramids that often decades would go by before being completed and the pharaoh who commissioned the pyramid would already be long dead. Regardless, it was seen as a very prestigious and important thing to do as a pharaoh.;Les pharaons des temps anciens érigeoient souvent d'imposantes tombes en leur honneur pendant leur règne. La construction de ces pyramides représentoit un labeur si titanesque que des décennies estoient souvent nécessaires pour les construire et les pharaons qui en avoient lancé la construction estoient défunts depuis longtemps. Quoi qu'il en soit, c'estoit considéré une besogne très prestigieuse et importante à accomplir pour un pharaon.;Die Pharaos der antiken Zeiten haben oft massive Gräber errichten lassen zu ihren während ihrer Regierung. Es wurde so ein Aufwand in die Pyramiden gesteckt, so das häufig Jahrzente vergehen bevor sie vollendet werden und der Pharao, der die Pyramide beauftragt hat, schon lange Tot war. Trotzdem wurde es als sehr prestigevolle und wichtige Tat als Pharao angesehen.;;The pharaohs of ancient times would often have massive tombs erected in their honour during their reign. Such effort was put into the construction of these pyramids that often decades would go by before being completed and the pharaoh who commissioned the pyramid would already be long dead. Regardless, it was seen as a very prestigious and important thing to do as a pharaoh.;;;;;;;;;;x
EVTDESC_ancrel_4005;Over a decade has passed since the construction of this pyramid began. Over a hundred thousand workers toiled during this period, often times giving their very lives in order to honour their sacred pharaoh. One cannot deny the sheer impressiveness of this structure.;Plus d'une décennie s'est écoulée depuis le début de la construction de cette pyramide. Pendant cette période, plus de cent mille ouvriers ont travaillé dur sur ce projet, souvent en donnant leur propre vie afin d'honorer leur pharaon sacré. On ne peult nier la pure magnificence de ce bastiment.;Über ein Jahrzent sind seit dem Beginn der Konstruktion dieser Pyramiden vergangen. Über Einhunderttausend Arbeiter haben sich während dieser Zeit geplagt, unzählige Male ihr Leben gegeben um ihren heiligen Pharao zu ehren. Man kann diese pure Eindringlichkeit dieser Konstruktion nicht abstreiten.;;Over a decade has passed since the construction of this pyramid began. Over a hundred thousand workers toiled during this period, often times giving their very lives in order to honour their sacred pharaoh. One cannot deny the sheer impressiveness of this structure.;;;;;;;;;;x
EVTDESC_ancrel_4006;Long has it been that Kemetism was a majority in the lands of Egypt. No longer shall false prophets of moon and sickle sway the hearts and minds of the Egyptian people. The High Priesthood of Kemetism has been restored, and a so called Paragon Xroj shall now take of the administration of the lower Priesthood, all under the guidance of a mighty Pharaoh.;Cela faisoit longtemps que le Kémitisme n'estoit plus majoritaire sur les terres d'Egypte. Plus jamais les faulx prophètes de la lune et de la faucille n'influenceront les coeurs et les esprits du peuple égyptien. Le Haut Sacerdoce du Kémitisme a été restauré, et un dénommé Parangon Xroj se chargera désormais de l'administration des rangs inférieurs du clergé, le tout sous la direction d'un puissant Pharaon.;Lange Zeit war der Kemetische Glauben die Mehrheit in den Ägyptischen Ländern. Nicht länger sollen falsche Propheten von Mond und Sichel die Herzen und Geister der agyptischen Menschen beeinflussen. Die hohe Priesterschaft des Kemetischen Glaubens wurde wiederhergestellt und ein sogenannter Paragon Xroj soll nun die Verwaltung über die niedere Priesterschaft unter der Führung des mächtigen Pharaos übernehmen.;;Long has it been that Kemetism was a majority in the lands of Egypt. No longer shall false prophets of moon and sickle sway the hearts and minds of the Egyptian people. The High Priesthood of Kemetism has been restored, and a so-called Paragon Xroj shall now take of the administration of the lower Priesthood, all under the guidance of a mighty Pharaoh.;;;;;;;;;;x
EVTDESC_ancrel_4007;Word has it that the enemies of Egypt have something new to fear. Warriors atop chariots equipped with bow and arrow alongside fearsome spear troops. Some even whisper that they don helmets in the shape of the old god, Anubis. Regardless of such claims, this new Kemetic holy order will pose a serious threat to all that oppose Kemetism.;À ce qu'on dit, les ennemis de l'Egypte ont une nouvelle raison de la craindre. Des guerriers embarqués dans des chars et équipés d'un arc et de flèches, aulx costés de redoutables piquiers. Certains murmurent mesme qu'ils revestent des casques de la forme d'un dieu ancien, Anubis. Quelle que soit la véracité de ces allégations, ce nouvel ordre saint kémite posera une sérieuse menace à tous ceulx qui s'opposent au Kémitisme.;Es wird gemunkelt, dass die Feinde von Ägypten etwas neues zu fürchten haben. Krieger auf Streitwagen ausgerüstet mit Pfeil und Bogen Seite an Seite mit furchterregenden Speertruppen. Manche flüstern sogar das die Helme in der Form des alten Gottes Anubis tragen. Unabhängig von diesen Behauptungen, dieser neue heilige kemetische Orden wird eine ernste Bedrohung für alle, die dem Kemetischen entsagen, darstellen;;Word has it that the enemies of Egypt have something new to fear. Warriors atop chariots equipped with bow and arrow alongside fearsome spear troops. Some even whisper that they don helmets in the shape of the old god, Anubis. Regardless of such claims, this new Kemetic holy order will pose a serious threat to all that oppose Kemetism.;;;;;;;;;;x
EVTDESC_ancrel_4008;With the ongoing success of the Anubis guard, yet another Kemetic holy order has been organized. The Horusian Guard is ready to defend the Egyptian empire from all heathens and heretics that would dare threaten it. Only a fool would attack the Egyptians head on now.;Avec le succès en cours de la garde d'Anubis, un nouvel ordre saint kémite a été créé. La garde d'Horus est preste à défendre l'empire égyptien contre tous les païens et tous les hérétiques qui oseroient le menacer. Seul un fol attaqueroit de front les Egyptiens à présent.Mit dem andauernden Erfolg der Anubis Garde, wurde nur ein weiterer heiliger kemetischer Orden organiziert. Die Horus Garde ist Bereit das Ägyptische Reich von allen Ketzern und Heiden, die es wagen dies zu bedrohen, zu verdeitigen. Nur ein Narr würde die Ägypter direkt angreifen.;;With the ongoing success of the Anubis guard, yet another Kemetic holy order has been organized. The Horusian Guard is ready to defend the Egyptian empire from all heathens and heretics that would dare threaten it. Only a fool would attack the Egyptians head on now.;;;;;;;;;;x
EVTNAME_ancrel_4000;The Restoration of Luxor Temple;La Restauration du Temple de Luxor;Die Restaurierung des Luxor-Tempels;;The Restoration of Luxor Temple;;Mit dem andauernden Erfolg der Anubis Garde, wurde nur ein weiterer heiliger Orden organiziert.;;;;;;;;x
