#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CHRONICLE_ADOPTED_BOGOMILIST;[From.GetDynName] adopted a Bogomilist feudal system in [From.GetHerHis] domains, abandoning the old tribal ways.;[From.GetDynName] adopted a Bogomilist feudal system in [From.GetHerHis] domains, abandoning the old tribal ways.;[From.GetDynName] nahm ein bogomilistisches feudales System in [From.GetHerHis] Domänen an und verließ die alten Stammeswege.;;[From.GetDynName] adopted a Bogomilist feudal system in [From.GetHerHis] domains, abandoning the old tribal ways.;;;;;;;;;x
CHRONICLE_ANUBIS_GUARD;Backed by [Root.GetTitledName]'s contributions and the growing power of the reborn Kemetic faith, the Anubis Guard, an order of chariot archers and spears, was established under the command of [Prev.GetDynName].;;Mit Unterstützung von [Root.GetTitledName] und der wachsende Macht des wiedergeborenen kemetischen Glaubens, wurde die Anubis Garde, ein Orden aus Streitwagenbogenschützen und Speerträgern, unter dem Kommando von [Prev.GetDynName] etabliert;;;;;;;;;;;x
CHRONICLE_CADET_BRANCH;[Root.GetTitledName], as a cadet member of his house, has founded the [Root.GetOnlyDynastyName] dynasty.;[Root.GetTitledName], as a cadet member of his house, has founded the [Root.GetOnlyDynastyName] dynasty.;[Root.GetTitledName] hat als ein Kadettenmitglied seines Hauses die [Root.GetOnlyDynastyName] Dynastie gegründet.;;[Root.GetTitledName], as a cadet member of his house, has founded the [Root.GetOnlyDynastyName] dynasty.;;;;;;;;;x
CHRONICLE_CADET_BRANCH_FORMED;[From.GetTitledName] has founded the [From.GetOnlyDynastyName] dynasty as a cadet branch of the [Root.GetOnlyDynastyName] dynasty.;[From.GetTitledName] has founded the [From.GetOnlyDynastyName] dynasty as a cadet branch of the [Root.GetOnlyDynastyName] dynasty.;[From.GetTitledName] gründete die [From.GetOnlyDynastyName] Dynastie als ein Kadettenzweig der [Root.GetOnlyDynastyName] Dynastie.;;[From.GetTitledName] has founded the [From.GetOnlyDynastyName] dynasty as a cadet branch of the [Root.GetOnlyDynastyName] dynasty.;;;;;;;;;x
CHRONICLE_DISINHERITED_HEIR;[From.GetTitledFirstName] was formally disinherited as the heir of [Root.GetTitledName].;[From.GetTitledFirstName] was formally disinherited as the heir of [Root.GetTitledName].;[From.GetTitledFirstName] war förmlich enterbt als Nachfolger von [Root.GetTitledName].;;[From.GetTitledFirstName] was formally disinherited as the heir of [Root.GetTitledName].;;;;;;;;;x
CHRONICLE_EGYPTIAN_PRIESTHOOD;Backed by [Root.GetTitledName]'s contributions and the growing power of the reborn Kemetic faith, [Prev.GetDynName] was installed as the Paragon Xroj, the first high priest of a new Kemetic era.;;Mit Unterstützung von [Root.GetTitledName] und der wachsenden Macht des wiedergeborenen kemetischen Glauben, wurde [Prev.GetDynName] eingesetzt als der Paragon Xroj, der erste Hohepriester des neuen kemetischen Glaubens.;;;;;;;;;;;x
CHRONICLE_FIANNA;[Root.GetTitledName] lent [Root.GetHerHis] gold and influence to allow the resurgent Gaelic druids to re-found the Fianna, a band of wild young warriors in the druids' service, with [Prev.GetDynName] as their Warchief.;;[Root.GetTitledName] leihte [Root.GetHerHis] Gold und Einfluss um den wiederauflebenden gälischen Druiden zu erlauben die Fianna zu refinanzieren, eine Truppe aus wilden jungen Kriegen in den Diensten der Druiden mit [Prev.GetDynName] als ihr Kriegshäuptling.;;;;;;;;;;;x
CHRONICLE_FOUNDED_HRE_NEWS;[From.GetDynName] was crowned Holy Roman Emperor by [From.RelHead.GetBestName] on [GetDateText], thus restoring the Roman Empire in the West.;[From.GetDynName] was crowned Holy Roman Emperor by [From.RelHead.GetBestName] on [GetDateText], thus restoring the Roman Empire in the West.;[From.GetDynName] wurde am [GetDateText] von [From.RelHead.GetBestName] zum Kaiser des Heiligen Römischen Reiches gekrönt und hat somit das Rmösche Reich im Westen restauriert.;;[From.GetDynName] was crowned Holy Roman Emperor by [From.RelHead.GetBestName] on [GetDateText], thus restoring the Roman Empire in the West.;;;;;;;;;x
CHRONICLE_HORUS_GUARD;Backed by [Root.GetTitledName]'s contributions and the growing power of the reborn Kemetic faith, the Horusian Guard was established under the command of [Prev.GetDynName].;;Mit der Unterstüzung von [Root.GetTitledName] und der wachsenden Macht des wiedergeborenen kemetischen Glaubens, wurde die Horus Garde unter dem Kommando von [Prev.GetDynName] gegründet.;;;;;;;;;;;x
CHRONICLE_LEGITIMIZED_BY_FATHER;[Root.GetTitledFirstName] was declared a legitimate child of [From.GetTitledName].;[Root.GetTitledFirstName] was declared a legitimate child of [From.GetTitledName].;[Root.GetTitledFirstName] wurde ale legitimes Kind von [From.GetTitledName] erklärt.;;[Root.GetTitledFirstName] was declared a legitimate child of [From.GetTitledName].;;;;;;;;;x
CHRONICLE_NEW_SAINT;[new_saint.GetTitledFirstNameWithNick] was formally canonized as a Saint by [religion_head_title.Holder.GetTitledFirstName] on [GetDateText].;[new_saint.GetTitledFirstNameWithNick] was formally canonized as a Saint by [religion_head_title.Holder.GetTitledFirstName] on [GetDateText].;[new_saint.GetTitledFirstNameWithNick] wurde formell am [GetDateText] von [religion_head_title.Holder.GetTitledFirstName] als Sankt heilig gesprochen.;;[new_saint.GetTitledFirstNameWithNick] was formally canonized as a Saint by [religion_head_title.Holder.GetTitledFirstName] on [GetDateText].;;;;;;;;;x
CHRONICLE_NORMAL_CORONATION;[From.GetFirstName] of House [From.GetOnlyDynastyName] was formally coronated as [From.PrimaryTitle.GetRulerTitle] of [From.PrimaryTitle.GetName] on [GetDateText].;[From.GetFirstName] vom Hause [From.GetOnlyDynastyName] wurde am [GetDateText] formell zum [From.PrimaryTitle.GetRulerTitle] von [From.PrimaryTitle.GetName] gekrönt.;[From.GetFirstName] of House [From.GetOnlyDynastyName] was formally coronated as [From.PrimaryTitle.GetRulerTitle] of [From.PrimaryTitle.GetName] on [GetDateText].;;[From.GetFirstName] of House [From.GetOnlyDynastyName] was formally coronated as [From.PrimaryTitle.GetRulerTitle] of [From.PrimaryTitle.GetName] on [GetDateText].;;;;;;;;;x
CHRONICLE_PAPAL_CORONATION;[Root.GetDynName] was formally coronated as [Root.PrimaryTitle.GetRulerTitle] of the Holy Roman Empire by [Root.RelHead.GetBestName] on [GetDateText].;[Root.GetDynName] was formally coronated as [Root.PrimaryTitle.GetRulerTitle] of the Holy Roman Empire by [Root.RelHead.GetBestName] on [GetDateText].;[Root.GetDynName] wurde formell am [GetDateText] vom [Root.RelHead.GetBestName] zum [Root.PrimaryTitle.GetRulerTitle] des Heiligen Römischen Reich gekrönt.;;[Root.GetDynName] was formally coronated as [Root.PrimaryTitle.GetRulerTitle] of the Holy Roman Empire by [Root.RelHead.GetBestName] on [GetDateText].;;;;;;;;;x
CHRONICLE_PAPAL_CORONATION_NEWS;[From.GetDynName] was formally coronated as [From.PrimaryTitle.GetRulerTitle] of the Holy Roman Empire by [From.RelHead.GetBestName].;[From.GetDynName] was formally coronated as [From.PrimaryTitle.GetRulerTitle] of the Holy Roman Empire by [From.RelHead.GetBestName].;[From.GetDynName] wurde formell vom [From.RelHead.GetBestName] zum [From.PrimaryTitle.GetRulerTitle] des Heiligen Römischen Reiches gekrönt.;;[From.GetDynName] was formally coronated as [From.PrimaryTitle.GetRulerTitle] of the Holy Roman Empire by [From.RelHead.GetBestName].;;;;;;;;;x
CHRONICLE_PILGRIMAGE_TO_LALISH;[Root.GetTitledName] began the holy pilgrimage to Lalish.;[Root.GetTitledName] began the holy pilgrimage to Lalish.;[Root.GetTitledName] begann die heilige Pilgerreise nach Lalish.;;[Root.GetTitledName] began the holy pilgrimage to Lalish.;;;;;;;;;x
